"NAME","income","poverty_rate","black_pct","renter_pct","housing_burden_pct"
"Van Buren County, Iowa",58417,10.9338143471625,0.416261967531567,6.54918828916331,34.5338983050847
"Clinton County, Iowa",61080,12.1515229736706,3.02228532094304,11.0092927207021,39.116842516608
"Scott County, Iowa",72792,11.6323896394458,7.03381808794424,12.662708315406,42.1419834186563
"Clarke County, Iowa",63120,16.5451371058848,0.0410804149121906,10.9787408852829,48.7371375116932
"Adair County, Iowa",63172,9.84088781922717,0.641797031688728,12.6487498328654,24.1014799154334
"Lee County, Iowa",58094,12.2361102804856,2.85868070091502,10.3552419113689,42.073346809125
"Davis County, Iowa",77176,9.2708677004289,0,5.26778840866601,28.1837160751566
"Plymouth County, Iowa",79963,5.59306818625346,1.7797900160025,9.83568166738223,22.3015873015873
"Emmet County, Iowa",64461,11.7231789496203,3.63675259386031,9.28441544550219,32.3732718894009
"Jones County, Iowa",68781,10.6979211884435,2.27656393189601,7.56282255341726,30.4209183673469
"Guthrie County, Iowa",75795,9.99152462567097,0.470854129390715,6.94038986721914,33.2428765264586
"Worth County, Iowa",69897,7.24012403936902,1.03815558851288,9.76135904004314,22.7900552486188
"Marshall County, Iowa",70828,10.7218657144997,2.10741841244476,10.1151089914854,31.0540607257467
"Buena Vista County, Iowa",62662,6.72402958379659,2.92937593657853,10.915067433654,25.2878653675819
"Wapello County, Iowa",56209,17.0038535645472,3.21035928822396,13.5441459820923,45.3347280334728
"Cherokee County, Iowa",63638,12.981639513835,1.39643134212568,11.4903887595897,33.2333083270818
"Wayne County, Iowa",58257,13.062924120913,0.293028994447872,7.86551511412708,30.5882352941176
"Cedar County, Iowa",76959,7.67357540992478,0.487039341955734,7.87921424319498,37.0879120879121
"Grundy County, Iowa",80701,5.86187353250749,0.84203708201765,6.85774431220144,25.5017709563164
"Cass County, Iowa",60815,15.0426959438853,0.74717901799329,11.9167429094236,47.9846449136276
"Keokuk County, Iowa",60016,12.0386993816078,0.598444045481747,8.7672052663076,38.7940841865757
"Monona County, Iowa",59897,11.9940029985007,0.299850074962519,9.67593126513666,34.803337306317
"Dubuque County, Iowa",73495,9.59296441727725,3.0036837631057,10.8013196777719,43.3804928323808
"Jackson County, Iowa",69709,10.1027221366204,0.642013353877761,8.43862352336929,38.2836275106513
"Kossuth County, Iowa",62553,10.2867237396385,0.842505775241201,11.4281831770621,34.6016646848989
"Lyon County, Iowa",73735,3.81768277468186,0.199617399983365,5.92198286617317,17.5561797752809
"Decatur County, Iowa",56068,13.1572097865695,1.26236335242061,13.0530973451327,28.8135593220339
"Buchanan County, Iowa",73493,8.55023993020212,0.775531966458243,7.52266007464495,35.6314432989691
"Delaware County, Iowa",75896,6.57421674370827,0.00570678536780232,7.01363921702905,34.6623270951993
"Black Hawk County, Iowa",62329,15.1158797628223,9.76793522637953,14.2207400737174,47.7059297021733
"Lucas County, Iowa",63405,16.4089545349642,0.346180475421186,8.45834294945765,24.6930422919509
"Benton County, Iowa",79444,8.14361453297988,0.421019803524092,6.40495867768595,24.5283018867925
"Calhoun County, Iowa",65614,8.40998685939553,1.15232993025371,8.2886889720004,31.9512195121951
"Carroll County, Iowa",68041,7.65631030490158,1.17232728676187,10.0299112311849,44.7811447811448
"Franklin County, Iowa",62214,13.5097353969046,0.529206190713929,11.2031952071892,29.3226381461676
"Poweshiek County, Iowa",61192,9.82373172828891,1.1822871883061,12.3011607910576,38.5757972913936
"Palo Alto County, Iowa",67306,10.2148131573059,2.04743790557172,9.71134481987022,32.7188940092166
"Bremer County, Iowa",84727,6.16104269950424,1.31137054213977,6.36494482648329,33.2286432160804
"Clay County, Iowa",61756,11.2342446568836,0.572368020459112,12.0075503866529,32.4036511156187
"Humboldt County, Iowa",66617,13.1896731209661,0.37476577139288,11.3158442640017,21.343146274149
"Ida County, Iowa",63125,11.2641698952504,0.78920935571818,9.58530635672263,22.0059880239521
"Floyd County, Iowa",62356,10.7236715595154,0.942247291840267,9.99935901544773,31.6025641025641
"Shelby County, Iowa",70295,8.61378546476953,0.920166993269149,10.0877566669507,39.9493243243243
"O'Brien County, Iowa",65076,11.9040882727401,1.39340783703494,9.66897722450134,31.6752011704462
"Story County, Iowa",66197,17.1984214744403,2.36677386302537,17.263347975612,48.0872069107363
"Jasper County, Iowa",67784,8.4188531527719,1.82501057977148,9.1647270418959,42.3376623376623
"Washington County, Iowa",71122,7.34445726457797,0.403834206088577,11.2541049081388,25.9069400630915
"Fayette County, Iowa",56043,11.4350120395512,0.840206977816487,10.0312516010042,39.7854954034729
"Adams County, Iowa",64750,9.26630434782609,0.298913043478261,7.90760869565217,26.8041237113402
"Montgomery County, Iowa",61261,14.2051531356344,0.44725328147788,12.7272727272727,28.7242169595111
"Taylor County, Iowa",65926,8.38404327248141,0.118323191345504,8.73901284651792,16.8278529980658
"Hamilton County, Iowa",66685,7.63735896922358,1.38193470859203,11.8365711996796,23.9142695995488
"Clayton County, Iowa",60441,12.8131752613444,0.391286573614437,10.512176604567,36.2777777777778
"Winneshiek County, Iowa",67770,7.98503740648379,0.812967581047382,9.65586034912718,32.5413223140496
"Mills County, Iowa",81907,6.81958233481684,0.260184868195823,6.75111263266005,35.1926977687627
"Pottawattamie County, Iowa",68718,11.0291523684295,1.54581315544723,12.0735918240809,43.6780591464494
"Allamakee County, Iowa",64049,11.3484265983198,1.71579097251887,8.48640182258294,26.5939597315436
"Fremont County, Iowa",69375,7.36556710347944,0.723000451875283,9.03750564844103,20.8333333333333
